hospital_pk,hospital_name,placekey
111303,JASPER MEMORIAL HOSPITAL,zzw-224@8g7-566-975
111333,JEFF DAVIS HOSPITAL,zzw-222@8g8-gd6-qfz
110100,JEFFERSON HOSPITAL,zzw-223@8g7-djd-hdv
111311,JENKINS COUNTY MEDICAL CENTER,222-222@8g7-dxg-v9f
111326,SGMC LANIER CAMPUS,222-222@8gp-gcs-5xq
110125,FAIRVIEW PARK HOSPITAL,zzw-222@8g6-v69-249
111335,LIBERTY REGIONAL MEDICAL CENTER,222-222@8gd-nhp-c89
110122,SOUTH GEORGIA MEDICAL CENTER,222-222@8gj-6tn-ysq
110237,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,222-223@8gb-pqh-7t9
110111,UNIVERSITY HOSPITAL MCDUFFIE,222-223@8g7-pv8-8gk
110190,FLINT RIVER COMMUNITY HOSPITAL,224@8g8-8fk-26k
111316,WARM SPRINGS MEDICAL CENTER,222-225@8g8-3xy-5cq
111305,MILLER COUNTY HOSPITAL,zzw-222@8gj-jwp-skf
111331,MITCHELL COUNTY HOSPITAL,zzw-223@8gj-mc2-cwk
111318,MONROE COUNTY HOSPITAL,223-222@8g8-5gz-5fz
111304,MORGAN MEDICAL CENTER,222-222@8g6-zsn-vmk
110050,ADVENTHEALTH MURRAY,22r@8gb-3vg-rhq
112012,"COLUMBUS SPECIALTY HOSPITAL, INC",
110129,ST FRANCIS HOSPITAL- EMORY HEALTHCARE,zzw-223@8g8-7q8-n89
110064,PIEDMONT COLUMBUS REGIONAL MIDTOWN,223-223@8gn-jc9-t5f
110200,PIEDMONT COLUMBUS REGIONAL NORTHSIDE,222-222@8g8-7v2-5j9
110018,PIEDMONT NEWTON HOSPITAL,zzw-224@8g6-zq7-m6k
110042,WELLSTAR PAULDING HOSPITAL,222-222@8gb-76z-r49
111310,"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH",222-222@8g8-4gb-rzf
110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,zzw-223@8gb-2v8-7kf
111330,POLK MEDICAL CENTER,zzw-222@8gb-59g-2zf
110135,TAYLOR REGIONAL HOSPITAL,zzw-222@8g7-sqt-z75
111313,PUTNAM GENERAL HOSPITAL,zzw-222@8g6-pq8-94v
111336,MOUNTAIN LAKES MEDICAL CENTER,222-222@8gb-p4n-jsq
110034,AU MEDICAL CENTER,zzw-222@8g7-bf4-mx5
110028,UNIVERSITY HOSPITAL,zzw-222@8g7-bf4-hqz
11L006,LIGHTHOUSE CARE CENTER OF AUGUSTA,223-223@8g7-86c-p9z
110177,DOCTORS HOSPITAL,zzw-222@8g7-86c-ct9
110091,PIEDMONT ROCKDALE HOSPITAL,222-223@8g6-x49-bkz
111312,OPTIM MEDICAL CENTER - SCREVEN,222-222@8g7-dz9-hdv
110194,DONALSONVILLE HOSPITAL INC,zzw-223@8gj-jnh-f2k
110031,WELLSTAR SPALDING REGIONAL HOSPITAL,222-222@8g7-3s7-vcq
110032,STEPHENS COUNTY HOSPITAL,zzw-222@8gb-mgk-t9z
110044,PHOEBE SUMTER MEDICAL CENTER,zzw-222@8g8-8nw-9fz
111323,OPTIM MEDICAL CENTER - TATTNALL,223-224@8g8-dnb-y9z
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,zzy-222@8gj-52v-c5z
110095,TIFT REGIONAL MEDICAL CENTER,222-222@8g7-yxn-6hq
110128,MEADOWS REGIONAL MEDICAL CENTER,222-222@8g8-bh3-nnq
111324,CHATUGE REGIONAL HOSPITAL,zzw-222@8gb-p2q-6c5
110016,WELLSTAR WEST GEORGIA MEDICAL CENTER,zzw-222@8gm-jny-bhq
110051,UNION GENERAL HOSPITAL,222-222@8gb-kxy-yvz
110002,UPSON REGIONAL MEDICAL CENTER,222-222@8g8-5vd-sh5
110046,"PIEDMONT WALTON HOSPITAL, INC",222-225@8g7-2sj-z9f
110003,MEMORIAL SATILLA HEALTH,222-223@8gp-f4r-7dv
110086,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,zzw-223@8g6-qnw-q75
110124,WAYNE MEMORIAL HOSPITAL,222-222@8gp-wnj-tqf
110001,HAMILTON MEDICAL CENTER,zzw-224@8gb-25x-r6k
111325,WILLS MEMORIAL HOSPITAL,222-222@8g7-hhc-5mk
111328,PHOEBE WORTH MEDICAL CENTER,222-223@8g7-wfq-z75
121307,HALE HO'OLA HAMAKUA,zzy-223@bp4-c93-6kz
120028,NORTH HAWAII COMMUNITY HOSPITAL,
121301,KAU HOSPITAL,zzy-222@bp5-5nt-r8v
120005,HILO MEDICAL CENTER,zzw-222@bp4-77c-99f
120019,KONA COMMUNITY HOSPITAL,zzy-222@bp4-98w-3kf
121302,KOHALA HOSPITAL,zzy-222@bp4-6mx-z9f
121304,KAHUKU MEDICAL CENTER,zzy-222@8m3-vcz-t35
120022,STRAUB CLINIC AND HOSPITAL,zzw-222@8m4-tbk-z4v
120026,PALI MOMI MEDICAL CENTER,22g@8m3-vqt-s5z
120011,KAISER FOUNDATION HOSPITAL,zzw-223@8m4-t9z-7dv
123301,SHRINERS HOSPITAL FOR CHILDREN,222-222@8m4-tbk-skf
120004,WAHIAWA GENERAL HOSPITAL,222-222@8m3-vsc-q9f
120001,THE QUEENS MEDICAL CENTER,223-223@8m4-tbd-z75
122001,LEAHI HOSPITAL,zzw-222@8m4-6f9-8n5
123300,KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,zzw-222@8m4-tbk-syv
120007,KUAKINI MEDICAL CENTER,zzw-226@8m4-tbf-f9f
120006,ADVENTIST HEALTH CASTLE,222-224@8m4-6v5-b6k
121300,KAUAI VETERANS MEMORIAL HOSPITAL,zzy-224@8m5-mnh-6x5
120014,WILCOX MEMORIAL HOSPITAL,zzy-222@8m5-jv7-gff
121306,SAMUEL MAHELONA MEMORIAL HOSPITAL,223-222@8m5-h92-f4v
120002,MAUI MEMORIAL MEDICAL CENTER,zzw-223@bp5-chg-r49
121303,MOLOKAI GENERAL HOSPITAL,zzy-222@8m4-793-h89
121305,LANAI COMMUNITY HOSPITAL,zzy-225@bp5-ytc-gp9
121308,KULA HOSPITAL,222-222@bp6-2cv-syv
130071,ST LUKE'S NAMPA MEDICAL CENTER,zzw-223@5w9-j7k-59f
130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,zzw-22j@5w9-jbc-7dv
130006,ST LUKE'S REGIONAL MEDICAL CENTER,224-222@5w9-jc4-kpv
130028,PORTNEUF MEDICAL CENTER,zzw-222@5wr-ggx-rrk
131316,BEAR LAKE MEMORIAL HOSPITAL,223-222@5qn-rfk-f4v
131317,BENEWAH COMMUNITY HOSPITAL,zzw-222@5wh-hbh-hkf
131325,BINGHAM MEMORIAL HOSPITAL,zzw-222@5wr-bbr-y7q
131323,ST LUKE'S WOOD RIVER MEDICAL CENTER,zzy-222@5wb-833-xkf
131328,BONNER GENERAL HOSPITAL,222-222@3x4-kk3-jd9
130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,222-224@5wg-42c-b6k
130074,"IDAHO FALLS COMMUNITY HOSPITAL, LLC",223-222@5wg-42c-q75
131301,BOUNDARY COMMUNITY HOSPITAL,zzw-223@3x4-qhy-zmk
131324,LOST RIVERS MEDICAL CENTER,222-223@5wr-pmp-wx5
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,223-222@5w9-j76-yjv
130014,WEST VALLEY MEDICAL CENTER,zzw-227@5w9-yhs-8gk
131309,CARIBOU MEMORIAL HOSPITAL,zzw-223@5wr-hhd-wkz
131326,CASSIA REGIONAL HOSPITAL,zzw-222@5wq-s82-2ff
131320,CLEARWATER VALLEY HOSPITAL & CLINICS,zzw-222@5wj-fr6-35z
131311,ST LUKE'S ELMORE MEDICAL CENTER,zzw-225@5w9-pvr-m8v
131322,FRANKLIN COUNTY MEDICAL CENTER,zzw-222@5ws-j8j-5pv
131318,VALOR HEALTH,zzw-223@5w9-v48-mzf
131302,NORTH CANYON MEDICAL CENTER,222-223@5wq-zkm-c89
131321,ST MARY'S HOSPITAL,zzw-222@5wj-m4r-5xq
131315,SYRINGA GENERAL HOSPITAL,222-222@5w9-9v8-ghq
131310,ST LUKE'S JEROME,222-223@5wr-2cf-h5z
132001,NORTHERN IDAHO ADVANCED CARE HOSPITAL,zzw-223@3x5-4p2-rff
130049,KOOTENAI HEALTH,zzw-222@3x5-4n2-9s5
131327,GRITMAN MEDICAL CENTER,zzw-226@5wc-cnv-pn5
131305,STEELE MEMORIAL MEDICAL CENTER,223-222@5w8-z7t-d7q
130025,MADISON MEMORIAL HOSPITAL,zzw-222@5wg-5m5-jvz
131319,MINIDOKA MEMORIAL HOSPITAL,zzw-226@5wq-sfz-z2k
130003,ST JOSEPH REGIONAL MEDICAL CENTER,zzw-223@5wc-csc-2c5
131303,NELL J REDFIELD MEMORIAL HOSPITAL,222-222@5ws-fs7-9j9
131304,POWER COUNTY HOSPITAL DISTRICT,zzw-222@5wr-gvc-swk
131314,SHOSHONE MEDICAL CENTER,zzw-222@5wh-bhw-tsq
131313,TETON VALLEY HOSPITAL,zzw-222@5qp-zj2-9xq
130002,ST LUKE'S MAGIC VALLEY RMC,222-222@5wr-7kv-zcq
131308,CASCADE MEDICAL CENTER,222-223@5w8-cth-8jv
131312,ST LUKE'S MCCALL,222-222@5w9-c7h-nh5
131307,WEISER MEMORIAL HOSPITAL,zzw-222@5w9-vnq-xh5
140015,BLESSING HOSPITAL,zzy-222@5q2-brz-389
140137,HSHS HOLY FAMILY HOSPITAL,223-225@5pk-3tt-8gk
141337,PERRY MEMORIAL HOSPITAL,zzw-226@5pw-kzb-pjv
140143,ST MARGARETS HOSPITAL,222-223@5pw-kw2-f2k
140113,OSF HEART OF MARY MEDICAL CENTER,222-225@5pt-y8c-2x5
140091,THE CARLE FOUNDATION HOSPITAL,222-222@5pt-y8c-z2k
141341,PANA COMMUNITY HOSPITAL,222-222@5pk-86h-nyv
141339,TAYLORVILLE MEMORIAL HOSPITAL,zzw-222@5pk-6vp-kcq
141351,CLAY COUNTY HOSPITAL,222-222@5pk-bwf-g49
140145,ST JOSEPHS HOSPITAL,222-222@5pj-3bc-gc5
140189,SARAH BUSH LINCOLN HEALTH CENTER,22m@5pv-srf-tjv
140083,LORETTO HOSPITAL,223-223@5pw-67h-dvz
140181,SOUTH SHORE HOSPITAL,zzw-222@5pw-6cd-fcq
140191,INGALLS MEMORIAL HOSPITAL,zzw-227@5pw-2q5-6rk
140068,ROSELAND COMMUNITY HOSPITAL,22d-223@5pw-2r4-54v
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,222-223@5pw-69p-bp9
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,222-223@5pw-5zn-yqf
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,zzw-229@5sb-8dt-4vz
142009,THC CHICAGO INC DBA KINDRED CHICAGO,22c-222@5pw-692-5fz
143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,223@5pw-623-td9
140080,PRESENCE SAINT FRANCIS HOSPITAL,zzw-22q@5pw-6pz-qs5
140119,RUSH UNIVERSITY MEDICAL CENTER,223-222@5pw-69h-btv
143301,LARABIDA CHILDRENS HOSPITAL I,zzy-222@5pw-6dz-c89
140062,PALOS COMMUNITY HOSPITAL,zzw-222@5pw-25b-b49
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,223-222@5pw-686-s5z
140018,MT SINAI HOSPITAL MEDICAL CENTER,zzy-222@5pw-69m-w6k
140095,SAINT ANTHONY HOSPITAL,zzw-222@5pw-682-9mk
140133,HOLY CROSS HOSPITAL,zzw-222@5pw-6cr-y35
140150,UNIVERSITY OF ILLINOIS HOSPITAL,223-223@5pw-69h-89z
140117,PRESENCE RESURRECTION MEDICAL CENTER,zzw-226@5sb-8g3-b6k
140082,LOUIS A WEISS MEMORIAL HOSPITAL,zzw-223@5pw-6qf-m6k
140206,NORWEGIAN-AMERICAN HOSPITAL,223-223@5pw-69s-n5z
140252,NORTHWEST COMMUNITY HOSPITAL 1,zzw-226@5sb-894-vs5
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,zzw-222@5pw-6bz-hh5
143302,SHRINERS HOSPITAL FOR CHILDREN,222-223@5pw-67p-7h5
140054,MACNEAL  HOSPITAL,zzw-223@5pw-68n-b8v
140158,MERCY HOSPITAL AND MEDICAL CENTER,223-223@5pw-6fk-w8v
140114,SWEDISH HOSPITAL,222-222@5pw-6qh-cyv
140103,ST BERNARD HOSPITAL,222-223@5pw-6bq-yqf
140115,THOREK MEMORIAL HOSPITAL,zzw-223@5pw-5zp-hyv
140124,JOHN H STROGER JR HOSPITAL,222-222@5pw-69h-pn5
140177,JACKSON PARK HOSPITAL,222-22d@5pw-6cd-mkz
140049,WEST SUBURBAN MEDICAL CENTER,222-224@5pw-67b-fxq
140281,NORTHWESTERN MEMORIAL HOSPITAL,zzw-22h@5pw-623-tgk
140224,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,zzw-222@5pw-5zb-wtv
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,zzw-227@5pw-28m-4vz
140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,zzw-223@5pw-28n-kzz
142010,RML HEALTH PROVIDERS LIMITED PARTNERSHIP,222-222@5sb-7wp-hqz
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,zzw-222@5pw-6q6-yjv
140276,LOYOLA UNIVERSITY MEDICAL CENTER,zzw-223@5pw-68x-c3q
140290,ST ALEXIUS MEDICAL CENTER,zzw-222@5sb-7vk-qpv
140048,ADVOCATE TRINITY HOSPITAL,223-222@5pw-6cf-jd9
140063,RUSH OAK PARK HOSPITAL,222-222@5pw-68v-2c5
140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,222-224@5pw-2nm-nkf
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,222-222@5pw-6d4-m49
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,223-22b@5pw-2n5-rff
140197,METHODIST HOSPITAL OF CHICAGO,225-223@5pw-6qk-djv
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,222-226@5sb-8fm-cwk
142008,KINDRED HOSPITAL - CHICAGO,222-222@5sb-7y6-c5z
140300,PROVIDENT HOSPITAL OF CHICAGO,222-223@5pw-6bx-jvz
142011,PRESENCE HOLY FAMILY MEDICAL CENTER,222-224@5sb-8fp-mp9
141343,CRAWFORD MEMORIAL HOSPITAL,222-224@5py-tkj-zfz
141340,VALLEY WEST COMMUNITY HOSPITAL,zzy-222@5pw-nx8-swk
142006,THC CHICAGO INC DBA KINDRED HOSP,222-222@5sb-9ry-7bk
140286,KISHWAUKEE COMMUNITY HOSPITAL,222-222@5sb-9rt-zcq
141303,WARNER HOSPITAL AND HEALTH SERVICES,223-223@5pv-g24-vxq
140231,EDWARD HOSPITAL,zzw-228@5sb-85m-dy9
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,223-222@5sb-7xh-r6k
140292,ADVENTIST GLENOAKS,222-222@5sb-7s9-kmk
140200,ELMHURST MEMORIAL HOSPITAL,zzw-228@5sb-7wg-ks5
140242,CENTRAL DUPAGE HOSPITAL,zzw-223@5sb-86t-s89
140122,ADVENTIST HINSDALE HOSPITAL,zzw-223@5sb-7wq-h3q
141320,PARIS COMMUNITY HOSPITAL,zzw-225@5pv-v9q-jsq
140032,ST ANTHONYS MEMORIAL HOSPITAL,zzw-222@5pv-snd-c3q
141346,FAYETTE COUNTY HOSPITAL,zzy-222@5pk-46v-fmk
141317,GIBSON COMMUNITY HOSPITAL,222-222@5pt-x87-m6k
141321,FRANKLIN HOSPITAL,zzw-222@5pj-fhw-bzf
140001,GRAHAM HOSPITAL ASSOCIATION,zzw-223@5q2-r3s-sdv
141300,THOMAS H BOYD MEMORIAL HOSPITAL,222-222@5pk-r7d-3qz
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,zzw-222@5pw-qcz-ndv
141326,HAMILTON MEMORIAL HOSPITAL,zzw-223@5pk-ff7-cnq
141305,MEMORIAL HOSPITAL,222-222@5pz-bvn-psq
141328,HARDIN COUNTY GENERAL HOSPITAL,
141325,OSF SAINT LUKE MEDICAL CENTER,zzw-224@5q2-tzm-tsq
141319,HAMMOND HENRY HOSPITAL,222-227@5q2-x6f-m49
140167,IROQUOIS MEMORIAL HOSPITAL,223-222@5pt-vhs-pvz
141334,ST JOSEPH MEMORIAL HOSPITAL,222-222@5ph-ygx-syv
140164,MEMORIAL HOSPITAL OF CARBONDALE,zzw-222@5pj-9md-mp9
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,223-222@5pk-fmz-hh5
140294,CROSSROADS COMMUNITY HOSPITAL,zzw-222@5pk-g38-t35
140059,JERSEY COMMUNITY HOSPITAL,222-222@5pk-ssh-f2k
141302,MIDWEST MEDICAL CENTER,222-224@5sb-hrd-v4v
140217,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,222-224@5sb-8jp-ct9
140211,DELNOR COMMUNITY HOSPITAL,zzw-222@5sb-82y-hqz
140030,ADVOCATE SHERMAN HOSPITAL,222-222@5sb-8j6-k2k
140174,PRESENCE MERCY MEDICAL CENTER,222-222@5pw-p6j-j5f
140029,RUSH COPLEY MEDICAL CENTER,222-222@5pw-pbf-bff
140155,PRESENCE ST MARYS HOSPITAL,zzw-222@5pv-3bf-d5f
140186,RIVERSIDE MEDICAL CENTER,225-222@5pv-3bq-hkf
140040,GALESBURG COTTAGE HOSPITAL,zzw-227@5q2-t66-q2k
140064,ST MARY MEDICAL CENTER,222-222@5q2-t6f-54v
140033,LAKE BEHAVIORAL HOSPITAL,222-222@5sb-df6-35z
140100,MIDWESTERN REGION MED CENTER,zzw-22c@5sb-d6s-k4v
140130,NORTHWESTERN LAKE FOREST HOSPITAL,zzw-222@5sb-cqk-rff
140202,ADVOCATE CONDELL MEDICAL CENTER,zzw-226@5sb-cz8-n3q
140291,ADVOCATE GOOD SHEPHERD HOSPITAL,zzw-226@5sb-6xj-vvf
140084,VISTA MEDICAL CENTER EAST,222-225@5sb-dgn-35z
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,223-222@5pw-hrk-g8v
141310,OSF SAINT PAUL MEDICAL CENTER,zzw-224@5pw-qxj-v75
140234,ILLINOIS VALLEY COMMUNITY HOSPITAL,225-222@5pw-kv6-nyv
141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,224-222@5py-thf-djv
140012,KATHERINE SHAW BETHEA HOSPITAL,222-225@5sb-svw-ty9
140161,SAINT JAMES HOSPITAL,223-229@5pw-jy2-zzz
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,222-222@5pv-hyb-575
140089,MC DONOUGH DISTRICT HOSPITAL,223-224@5pz-sfd-b8v
141335,MERCY HARVARD HOSPITAL,222-223@5sb-9fk-nkf
140116,NORTHWESTERN MEDICINE MCHENRY HOSPITAL,222-223@5sb-6vt-2p9
140127,CARLE BROMENN MEDICAL CENTER,224-223@5pv-f43-kxq
140162,ST JOSEPH MEDICAL CENTER,zzw-222@5pv-jtt-c5z
140135,DECATUR MEMORIAL HOSPITAL,zzw-225@5pv-fvr-f9f
140166,ST MARYS HOSPITAL,224-223@5pv-fw6-99f
141347,CARLINVILLE AREA HOSPITAL,zzw-222@5pk-4qt-x5z
141306,COMMUNITY HOSPITAL OF STAUNTON,222-223@5pk-5hy-2kz
140289,ANDERSON HOSPITAL,223-223@5pj-596-bff
140002,ALTON MEMORIAL HOSPITAL,222-223@5pk-s7c-9j9
140052,OSF SAINT ANTHONY'S HEALTH CENTER,zzy-222@5pk-s6r-fmk
141336,ST JOSEPH'S HOSPITAL,222-222@5pj-428-kpv
140125,GATEWAY REGIONAL MEDICAL CENTER,zzw-222@5pj-5jb-ffz
141345,SALEM TOWNSHIP HOSPITAL,222-222@5pk-dcy-9mk
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,zzw-222@5pk-dkb-fs5
141313,MASON DISTRICT HOSPITAL,22n@5pz-qjp-87q
141323,MASSAC MEMORIAL HOSPITAL,22j@5pj-8f8-z9f
141304,"GENESIS MEDICAL CENTER, ALEDO",zzw-223@5q2-rr3-6rk
141332,HILLSBORO AREA HOSPITAL,222-222@5pk-2xs-87q
141350,ST FRANCIS HOSPITAL,zzw-222@5pk-635-3t9
140058,PASSAVANT AREA HOSPITAL,zzw-222@5pz-mgq-wtv
141312,ROCHELLE COMMUNITY HOSPITAL,222-223@5sb-xdr-n3q
140067,SAINT FRANCIS MEDICAL CENTER,222-222@5pv-mq7-3h5
142013,GREATER PEORIA SPECIALTY HOSPITAL,223-223@5pv-mmw-rc5
140209,METHODIST MEDICAL CENTER OF ILLINOIS,zzw-222@5pv-mmx-hh5
140013,PROCTOR HOSPITAL,zzw-222@5pv-mqd-6kz
141307,PINCKNEYVILLE COMMUNITY HOSPITAL,222-223@5ph-ywt-hqz
141331,MARSHALL BROWNING HOSPITAL,zzw-222@5pj-fs8-b49
141301,KIRBY MEDICAL CENTER,222-222@5pv-wxq-hqz
141315,ILLINI COMMUNITY HOSPITAL,222-222@5pz-psq-m6k
141338,MEMORIAL HOSPITAL,222-222@5pj-2gp-8y9
141349,SPARTA COMMUNITY HOSPITAL,222-222@5ph-z6b-75z
141348,RED BUD REGIONAL HOSPITAL,zzw-222@5pj-2vz-wp9
140147,CARLE RICHLAND MEMORIAL HOSPITAL,226@5pk-j2g-k9f
140280,TRINITY ROCK ISLAND,223-223@5q2-wv6-z75
140275,GENESIS HEALTH SYSTEM,223-224@5q2-wjw-nh5
140187,HSHS ST ELIZABETH'S HOSPITAL,zzw-222@5pj-5d2-cdv
140307,MEMORIAL HOSPITAL EAST,222-222@5pj-5cr-389
140185,MEMORIAL HOSPITAL,222-222@5pj-5kw-94v
140077,TOUCHETTE REGIONAL HOSPITAL INC,zzw-222@5pj-5gs-66k
141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,222-222@5pj-c3t-gp9
140210,HARRISBURG MEDICAL CENTER,zzy-222@5pj-cfg-g6k
140053,ST JOHNS HOSPITAL,zzw-223@5pk-8wy-mzf
140148,MEMORIAL MEDICAL CENTER,222-222@5pk-8wy-dgk
141333,SARAH D CULBERTSON MEMORIAL HOSPITAL,225-222@5pz-kjj-xnq
140019,HSHS GOOD SHEPHERD HOSPITAL INC,zzw-226@5pk-858-9pv
140160,FHN MEMORIAL HOSPITAL,zzw-222@5sb-wph-d9z
141330,HOPEDALE HOSPITAL,zzw-222@5pv-h5s-bzf
140120,PEKIN MEMORIAL HOSPITAL,223-22c@5pv-gyg-x89
141342,UNION COUNTY HOSPITAL,222-226@5pj-9jr-tn5
140093,OSF SACRED HEART MEDICAL CENTER,223-225@5pt-wcp-qj9
141316,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,222-222@5pt-v3t-87q
141327,WABASH GENERAL HOSPITAL 1,222-222@5pk-hfm-jvz
141318,OSF HOLY FAMILY MEDICAL CENTER,222-224@5q2-tfy-7nq
141308,WASHINGTON COUNTY HOSPITAL,zzw-222@5pj-4zz-6ff
141311,FAIRFIELD MEMORIAL HOSPITAL 1,zzw-222@5pk-d64-33q
140043,CGH MEDICAL CENTER,222-226@5sb-t4j-jgk
141329,MORRISON COMMUNITY HOSPITAL,zzw-222@5sb-vy4-4gk
140304,ADVENTIST BOLINGBROOK HOSPITAL,222-224@5pw-2v4-2zf
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,222-222@5pw-2db-brk
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,zzw-226@5pw-2cd-t7q
140011,HERRIN HOSPITAL,zzw-223@5pj-fgp-kfz
140184,HEARTLAND REGIONAL MEDICAL CENTER,222-222@5pj-fd4-4vz
140239,MERCYHEALTH HOSPITAL ROCKTON AVENUE,zzw-222@5sb-8zc-8vz
140228,SWEDISH AMERICAN HOSPITAL,zzw-223@5sb-95h-zfz
140233,SAINT ANTHONY MEDICAL CENTER,222-223@5sb-94p-bx5
141309,CARLE EUREKA HOSPITAL,zzw-222@5pv-mzv-bzf
151330,ADAMS MEMORIAL HOSPITAL,zzw-222@63k-4bk-q9f
150047,ST JOSEPH HOSPITAL,224-223@63k-4nb-3wk
150168,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,222-222@63k-6fj-r49
150150,DUPONT HOSPITAL LLC,222-222@63k-b62-89z
150017,LUTHERAN HOSPITAL OF INDIANA,zzw-222@63k-6fj-r49
150021,PARKVIEW REGIONAL MEDICAL CENTER,222-222@63k-b62-zzz
150112,COLUMBUS REGIONAL HOSPITAL,zzw-222@5py-djc-4gk
151302,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,222-222@63k-77d-vxq
150104,WITHAM HEALTH SERVICES,zzw-224@5pv-8pb-k4v
150072,MEMORIAL HOSPITAL,zzw-224@5pw-7x6-hyv
150009,CLARK MEMORIAL HEALTH,zzw-222@5px-7dn-nkf
151309,ASCENSION ST VINCENT CLAY,zzw-223@5pv-7r8-nkf
151316,INDIANA UNIVERSITY HEALTH FRANKFORT INC,zzw-222@5pv-9f7-v9f
150061,DAVIESS COMMUNITY HOSPITAL,zzw-222@5py-rjw-k75
150086,HIGHPOINT HEALTH,zzw-224@63j-bmd-kmk
151332,DECATUR COUNTY MEMORIAL HOSPITAL,223-223@5py-bf2-s5z
150045,PARKVIEW DEKALB HOSPITAL,
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,225-222@63j-6pd-bff
150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,222-222@5py-s48-28v
150018,ELKHART GENERAL HOSPITAL,zzw-222@5s6-b3j-j35
150026,GOSHEN GENERAL HOSPITAL,222-223@5s6-cdr-z75
150044,BAPTIST HEALTH FLOYD,zzw-222@5px-7fb-mkz
151313,WOODLAWN HOSPITAL,222-223@5pw-d39-td9
151319,DEACONESS GIBSON HOSPITAL,223-223@5py-vff-ch5
150011,MARION GENERAL HOSPITAL,zzw-223@5pw-dyj-vpv
151317,GREENE COUNTY GENERAL HOSPITAL,zzw-222@5py-w9s-nnq
150181,ASCENSION ST VINCENT FISHERS,223-223@63j-2pk-cwk
150157,ASCENSION ST VINCENT CARMEL,zzw-222@63j-2xc-9j9
150059,RIVERVIEW HEALTH,zzw-222@63j-2nz-4n5
150153,ASCENSION ST VINCENT HEART CENTER,222-222@5pv-b6m-9xq
150161,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,zzw-222@63j-2xb-fpv
5c211a23-fa2a-4b5f-9584-dad42f483138,Indiana Spine Hospital,222-222@63j-2x5-xnq
150037,HANCOCK REGIONAL HOSPITAL,zzw-229@63j-4f7-zcq
151331,HARRISON COUNTY HOSPITAL,224-225@5px-3vn-tvz
150158,IU HEALTH WEST HOSPITAL,226-223@5pv-bc6-nwk
150005,HENDRICKS REGIONAL HEALTH,222-223@5pv-5cd-75z
150030,HENRY COUNTY MEMORIAL HOSPITAL,zzw-222@63h-yq6-ndv
150010,ASCENSION ST VINCENT KOKOMO,zzw-225@5pw-9q2-td9
150007,COMMUNITY HOWARD REGIONAL HEALTH INC,zzw-222@5pw-8yz-pgk
150091,PARKVIEW HUNTINGTON HOSPITAL,222-223@63k-68k-s89
150065,SCHNECK MEDICAL CENTER,zzw-226@5py-6yn-hdv
151324,"FRANCISCAN HEALTH RENSSELAER, INC",222-223@5pw-bn4-p7q
151320,IU HEALTH JAY,224-224@63j-53k-mc5
150069,KING'S DAUGHTERS' HEALTH,
151303,ASCENSION ST VINCENT JENNINGS,222-223@5py-768-mff
150001,JOHNSON MEMORIAL HOSPITAL,zzw-222@5py-f5y-zpv
